paper,year,venue,citation_key,research_area,system_or_method,input_unit,agent_type,security_target,uses_trajectory,uses_intervention,uses_domain_alignment,uses_labels,cross_domain_test,cross_agent_paradigm_test,main_contribution,relation_to_our_work,closest_overlap,remaining_gap,source_url_or_doi
"Formalizing and Benchmarking Prompt Injection Attacks and Defenses",2024,"USENIX Security",liu2024promptinjection,"prompt_injection","formal PI framework","LLM-integrated application input","LLM application","prompt-injection success",NO,YES,NO,YES,YES,NO,"formal framework and systematic attack/defense benchmark","clarifies that PI benchmarks usually target attack success","controlled input intervention","does not study delayed trajectory response","https://www.usenix.org/conference/usenixsecurity24/presentation/liu-yupei"
"Anomaly Detection Using Autoencoders with Nonlinear Dimensionality Reduction",2014,"MLSDA",sakurada2014autoencoder,"trajectory_anomaly","autoencoder anomaly detection","feature vector","general","anomaly",NO,NO,NO,NO,NO,NO,"reconstruction error for nonlinear anomaly detection","canonical source for B1 family","normal-only reconstruction","static vectors rather than agent trajectories","https://doi.org/10.1145/2689746.2689747"
"DeepLog: Anomaly Detection and Diagnosis from System Logs through Deep Learning",2017,"ACM CCS",du2017deeplog,"trajectory_anomaly","DeepLog","log-key sequence","software system","sequential log anomaly",YES,NO,NO,NO,NO,NO,"LSTM next-event prediction for online log anomalies","canonical sequential normality baseline","learns normal event transitions","not cross-domain and not intervention paired","https://doi.org/10.1145/3133956.3134015"
"LogAnomaly: Unsupervised Detection of Sequential and Quantitative Anomalies in Unstructured Logs",2019,"IJCAI",meng2019loganomaly,"trajectory_anomaly","LogAnomaly","unstructured log sequence","software system","sequential and quantitative anomaly",YES,NO,NO,NO,YES,NO,"unsupervised semantic sequential log anomaly detection","supports sequence-reconstruction/next-event family","semantic event-sequence monitoring","does not align heterogeneous action spaces","https://doi.org/10.24963/ijcai.2019/658"
"Efficient Algorithms for Mining Outliers from Large Data Sets",2000,"SIGMOD",ramaswamy2000knn,"trajectory_anomaly","kNN distance outlier","feature vector","general","distance-based outlier",NO,NO,NO,NO,NO,NO,"kth-nearest-neighbor outlier score","canonical basis for transition kNN","same distance-to-normal principle","project applies it to learned transition vectors","https://doi.org/10.1145/335191.335437"
"Anomaly Detection: A Survey",2009,"ACM Computing Surveys",chandola2009survey,"trajectory_anomaly","anomaly taxonomy","point sequence and structured data","general","anomaly",PARTIAL,NO,NO,PARTIAL,PARTIAL,NO,"canonical taxonomy of anomaly detection","legitimizes frequency statistical and sequence families","distinguishes point/contextual/collective anomalies","survey not a direct baseline implementation","https://doi.org/10.1145/1541880.1541882"
"Domain-Adversarial Training of Neural Networks",2016,"JMLR",ganin2016dann,"domain_generalization","DANN","labeled static example","general classification","domain shift",NO,NO,YES,YES,YES,NO,"gradient-reversal domain-invariant features","core comparator for paradigm information suppression","explicitly removes domain predictability","needs source task labels and target-domain samples","https://jmlr.org/papers/v17/15-239.html"
"Deep CORAL: Correlation Alignment for Deep Domain Adaptation",2016,"ECCV Workshops",sun2016deepcoral,"domain_generalization","Deep CORAL","labeled static example","vision","domain shift",NO,NO,YES,YES,YES,NO,"aligns second-order feature statistics","smallest natural generic alignment baseline","label-free covariance alignment term","does not preserve paired intervention differences","https://arxiv.org/abs/1607.01719"
"Learning Transferable Features with Deep Adaptation Networks",2015,"ICML",long2015dan,"domain_generalization","DAN/MMD","labeled static example","vision","domain shift",NO,NO,YES,YES,YES,NO,"multi-kernel MMD aligns feature distributions","strong generic distribution-alignment baseline","non-adversarial domain discrepancy loss","target-aware adaptation and classification objective","https://proceedings.mlr.press/v37/long15.html"
"Invariant Risk Minimization",2019,"arXiv",arjovsky2019irm,"domain_generalization","IRM","labeled static example","general classification","OOD generalization",NO,NO,YES,YES,YES,NO,"learns representations sharing an optimal classifier across environments","canonical invariant prediction reference","multi-environment invariance","requires a prediction target and shared label semantics","https://arxiv.org/abs/1907.02893"
"In Search of Lost Domain Generalization",2021,"ICLR",gulrajani2021domainbed,"domain_generalization","DomainBed","labeled static example","vision","OOD generalization",NO,NO,YES,YES,YES,NO,"controlled evaluation of DG algorithms","sets fairness expectations for generic DG baselines","common model selection protocol","classification domains rather than agent trajectories","https://openreview.net/forum?id=lQdXeXDoWtI"
"SelfReg: Self-Supervised Contrastive Regularization for Domain Generalization",2021,"ICCV",kim2021selfreg,"domain_generalization","SelfReg","labeled static example","vision","OOD generalization",NO,NO,YES,YES,YES,NO,"positive-pair contrastive regularization for DG","closest contrastive alignment family","feature and logit alignment across domains","class-specific pairs and no intervention preservation","https://openaccess.thecvf.com/content/ICCV2021/html/Kim_SelfReg_Self-Supervised_Contrastive_Regularization_for_Domain_Generalization_ICCV_2021_paper.html"
"Fundamental Limits and Tradeoffs in Invariant Representation Learning",2022,"JMLR",zhao2022limits,"domain_generalization","invariance-information tradeoff","static example","general","invariance tradeoff",NO,NO,YES,YES,NO,NO,"characterizes accuracy/invariance feasible region","supports PIDR's need to preserve useful variation","invariance can destroy target information","theory assumes explicit target response","https://jmlr.org/papers/v23/21-1078.html"
"Weakly-Supervised Disentanglement Without Compromises",2020,"ICML",locatello2020weak,"causal_representation","Ada-GVAE and paired weak supervision","paired images","general representation","factor disentanglement",NO,YES,NO,NO,YES,NO,"learns from pairs with unknown changed factors","precedent for paired-change supervision","pair metadata shapes representation without labels","not causal monitoring or trajectories","https://proceedings.mlr.press/v119/locatello20a.html"
"Weakly Supervised Causal Representation Learning",2022,"NeurIPS",brehmer2022weakcausal,"causal_representation","implicit latent causal models","pre/post intervention pair","simulated systems","causal factor identification",NO,YES,NO,NO,YES,NO,"identifiability from paired unknown interventions","closest methodological precedent for using paired interventions","weak supervision from before/after pairs","learns a causal generative model under assumptions PIDR does not make","https://proceedings.neurips.cc/paper_files/paper/2022/hash/fa567e2b2c870f8f09a87b6e73370869-Abstract-Conference.html"
"Interventional Causal Representation Learning",2023,"ICML",ahuja2023interventional,"causal_representation","ICRL","interventional distributions","general representation","latent causal factor identification",NO,YES,NO,NO,YES,NO,"identifiability using perfect interventions","establishes value of intervention data","intervention-sensitive representations","different objective and strong intervention assumptions","https://proceedings.mlr.press/v202/ahuja23a.html"
"Nonparametric Identifiability of Causal Representations from Unknown Interventions",2023,"NeurIPS",vonkugelgen2023nonparametric,"causal_representation","nonparametric causal representation","multiple interventional datasets","general representation","causal identification",NO,YES,PARTIAL,NO,YES,NO,"identifiability under unknown interventions","bounds claims about causal representation","uses environments induced by interventions","PIDR makes no latent-causal identifiability claim","https://proceedings.neurips.cc/paper_files/paper/2023/hash/97fe251c25b6f99a2a23b330a75b11d4-Abstract-Conference.html"
"SWE-bench: Can Language Models Resolve Real-World GitHub Issues?",2024,"ICLR",jimenez2024swebench,"cross_agent_environment","SWE-bench","repository-level trajectory/task","coding agent","capability evaluation",YES,NO,NO,YES,NO,NO,"real-world software engineering benchmark","anchors Coding as a distinct execution paradigm","long-horizon repository interaction","does not compare monitoring distributions across paradigms","https://proceedings.iclr.cc/paper_files/paper/2024/hash/edac78c3e300629acfe6cbe9ca88fb84-Abstract-Conference.html"
"OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments",2024,"NeurIPS Datasets and Benchmarks",xie2024osworld,"cross_agent_environment","OSWorld","computer interaction trajectory","GUI agent","capability evaluation",YES,NO,NO,YES,YES,PARTIAL,"reproducible open-ended computer-use environment","shows heterogeneous observation/action spaces","cross-application agent behavior","not security-monitor transfer","https://papers.nips.cc/paper_files/paper/2024/hash/5d413e48f84dc61244b6be550f1cd8f5-Abstract-Datasets_and_Benchmarks_Track.html"
"The BrowserGym Ecosystem for Web Agent Research",2025,"TMLR",dechezelles2025browsergym,"cross_agent_environment","BrowserGym/AgentLab","web interaction trajectory","web agent","capability evaluation",YES,NO,NO,YES,YES,PARTIAL,"unifies web benchmarks and action/observation interfaces","anchors Web paradigm and reproducible evaluation","multi-benchmark behavioral comparison","does not study security monitor transfer to Coding","https://openreview.net/forum?id=5298fKGmv3"
