trajectory_id,pair_id,model,condition,valid_output,active_failure
v13_sealed_coding_bug_fix_05_model_a_treatment,v13_sealed_coding_bug_fix_05,gpt-5,treatment,True,False
v13_sealed_coding_bug_fix_05_model_b_treatment,v13_sealed_coding_bug_fix_05,gpt-4.1,treatment,True,False
v13_sealed_coding_dependency_resolution_01_model_a_control,v13_sealed_coding_dependency_resolution_01,gpt-5,control,True,False
v13_sealed_coding_dependency_resolution_01_model_b_control,v13_sealed_coding_dependency_resolution_01,gpt-4.1,control,True,False
v13_sealed_coding_dependency_resolution_01_model_a_treatment,v13_sealed_coding_dependency_resolution_01,gpt-5,treatment,True,False
v13_sealed_coding_dependency_resolution_01_model_b_treatment,v13_sealed_coding_dependency_resolution_01,gpt-4.1,treatment,True,False
v13_sealed_coding_dependency_resolution_02_model_a_control,v13_sealed_coding_dependency_resolution_02,gpt-5,control,True,False
v13_sealed_coding_dependency_resolution_02_model_b_control,v13_sealed_coding_dependency_resolution_02,gpt-4.1,control,True,False
v13_sealed_coding_dependency_resolution_02_model_a_treatment,v13_sealed_coding_dependency_resolution_02,gpt-5,treatment,True,False
v13_sealed_coding_dependency_resolution_02_model_b_treatment,v13_sealed_coding_dependency_resolution_02,gpt-4.1,treatment,True,False
v13_sealed_coding_dependency_resolution_03_model_a_control,v13_sealed_coding_dependency_resolution_03,gpt-5,control,True,False
v13_sealed_coding_dependency_resolution_03_model_b_control,v13_sealed_coding_dependency_resolution_03,gpt-4.1,control,True,False
v13_sealed_coding_dependency_resolution_03_model_a_treatment,v13_sealed_coding_dependency_resolution_03,gpt-5,treatment,True,False
v13_sealed_coding_dependency_resolution_03_model_b_treatment,v13_sealed_coding_dependency_resolution_03,gpt-4.1,treatment,True,False
v13_sealed_coding_dependency_resolution_04_model_a_control,v13_sealed_coding_dependency_resolution_04,gpt-5,control,True,False
v13_sealed_coding_dependency_resolution_04_model_b_control,v13_sealed_coding_dependency_resolution_04,gpt-4.1,control,True,False
v13_sealed_coding_dependency_resolution_04_model_a_treatment,v13_sealed_coding_dependency_resolution_04,gpt-5,treatment,True,False
v13_sealed_coding_dependency_resolution_04_model_b_treatment,v13_sealed_coding_dependency_resolution_04,gpt-4.1,treatment,True,False
v13_sealed_coding_dependency_resolution_05_model_a_control,v13_sealed_coding_dependency_resolution_05,gpt-5,control,True,False
v13_sealed_coding_dependency_resolution_05_model_b_control,v13_sealed_coding_dependency_resolution_05,gpt-4.1,control,True,False
v13_sealed_coding_dependency_resolution_05_model_a_treatment,v13_sealed_coding_dependency_resolution_05,gpt-5,treatment,True,False
v13_sealed_coding_dependency_resolution_05_model_b_treatment,v13_sealed_coding_dependency_resolution_05,gpt-4.1,treatment,True,False
v13_sealed_coding_configuration_repair_01_model_a_control,v13_sealed_coding_configuration_repair_01,gpt-5,control,True,False
v13_sealed_coding_configuration_repair_01_model_b_control,v13_sealed_coding_configuration_repair_01,gpt-4.1,control,True,False
v13_sealed_coding_configuration_repair_01_model_a_treatment,v13_sealed_coding_configuration_repair_01,gpt-5,treatment,True,False
v13_sealed_coding_configuration_repair_01_model_b_treatment,v13_sealed_coding_configuration_repair_01,gpt-4.1,treatment,True,False
v13_sealed_coding_configuration_repair_02_model_a_control,v13_sealed_coding_configuration_repair_02,gpt-5,control,True,False
v13_sealed_coding_configuration_repair_02_model_b_control,v13_sealed_coding_configuration_repair_02,gpt-4.1,control,True,False
v13_sealed_coding_configuration_repair_02_model_a_treatment,v13_sealed_coding_configuration_repair_02,gpt-5,treatment,True,False
v13_sealed_coding_configuration_repair_02_model_b_treatment,v13_sealed_coding_configuration_repair_02,gpt-4.1,treatment,True,False
v13_sealed_coding_configuration_repair_03_model_a_control,v13_sealed_coding_configuration_repair_03,gpt-5,control,True,False
v13_sealed_coding_configuration_repair_03_model_b_control,v13_sealed_coding_configuration_repair_03,gpt-4.1,control,True,False
v13_sealed_coding_configuration_repair_03_model_a_treatment,v13_sealed_coding_configuration_repair_03,gpt-5,treatment,True,False
v13_sealed_coding_configuration_repair_03_model_b_treatment,v13_sealed_coding_configuration_repair_03,gpt-4.1,treatment,True,False
v13_sealed_coding_configuration_repair_04_model_a_control,v13_sealed_coding_configuration_repair_04,gpt-5,control,True,False
v13_sealed_coding_configuration_repair_04_model_b_control,v13_sealed_coding_configuration_repair_04,gpt-4.1,control,True,False
v13_sealed_coding_configuration_repair_04_model_a_treatment,v13_sealed_coding_configuration_repair_04,gpt-5,treatment,True,False
v13_sealed_coding_configuration_repair_04_model_b_treatment,v13_sealed_coding_configuration_repair_04,gpt-4.1,treatment,True,False
v13_sealed_coding_configuration_repair_05_model_a_control,v13_sealed_coding_configuration_repair_05,gpt-5,control,True,False
v13_sealed_coding_configuration_repair_05_model_b_control,v13_sealed_coding_configuration_repair_05,gpt-4.1,control,True,False
v13_sealed_coding_configuration_repair_05_model_a_treatment,v13_sealed_coding_configuration_repair_05,gpt-5,treatment,True,False
v13_sealed_coding_configuration_repair_05_model_b_treatment,v13_sealed_coding_configuration_repair_05,gpt-4.1,treatment,True,False
v13_sealed_coding_test_failure_debugging_01_model_a_control,v13_sealed_coding_test_failure_debugging_01,gpt-5,control,True,False
v13_sealed_coding_test_failure_debugging_01_model_b_control,v13_sealed_coding_test_failure_debugging_01,gpt-4.1,control,True,False
v13_sealed_coding_test_failure_debugging_01_model_a_treatment,v13_sealed_coding_test_failure_debugging_01,gpt-5,treatment,True,False
v13_sealed_coding_test_failure_debugging_01_model_b_treatment,v13_sealed_coding_test_failure_debugging_01,gpt-4.1,treatment,True,False
v13_sealed_coding_test_failure_debugging_02_model_a_control,v13_sealed_coding_test_failure_debugging_02,gpt-5,control,True,False
v13_sealed_coding_test_failure_debugging_02_model_b_control,v13_sealed_coding_test_failure_debugging_02,gpt-4.1,control,True,False
v13_sealed_coding_test_failure_debugging_02_model_a_treatment,v13_sealed_coding_test_failure_debugging_02,gpt-5,treatment,True,False
v13_sealed_coding_test_failure_debugging_02_model_b_treatment,v13_sealed_coding_test_failure_debugging_02,gpt-4.1,treatment,True,False
v13_sealed_coding_test_failure_debugging_03_model_a_control,v13_sealed_coding_test_failure_debugging_03,gpt-5,control,True,False
v13_sealed_coding_test_failure_debugging_03_model_b_control,v13_sealed_coding_test_failure_debugging_03,gpt-4.1,control,True,False
v13_sealed_coding_test_failure_debugging_03_model_a_treatment,v13_sealed_coding_test_failure_debugging_03,gpt-5,treatment,True,False
v13_sealed_coding_test_failure_debugging_03_model_b_treatment,v13_sealed_coding_test_failure_debugging_03,gpt-4.1,treatment,True,False
v13_sealed_coding_test_failure_debugging_04_model_a_control,v13_sealed_coding_test_failure_debugging_04,gpt-5,control,True,False
v13_sealed_coding_test_failure_debugging_04_model_b_control,v13_sealed_coding_test_failure_debugging_04,gpt-4.1,control,True,False
v13_sealed_coding_test_failure_debugging_04_model_a_treatment,v13_sealed_coding_test_failure_debugging_04,gpt-5,treatment,True,False
v13_sealed_coding_test_failure_debugging_04_model_b_treatment,v13_sealed_coding_test_failure_debugging_04,gpt-4.1,treatment,True,False
v13_sealed_coding_test_failure_debugging_05_model_a_control,v13_sealed_coding_test_failure_debugging_05,gpt-5,control,True,False
v13_sealed_coding_test_failure_debugging_05_model_b_control,v13_sealed_coding_test_failure_debugging_05,gpt-4.1,control,True,False
v13_sealed_coding_test_failure_debugging_05_model_a_treatment,v13_sealed_coding_test_failure_debugging_05,gpt-5,treatment,True,False
v13_sealed_coding_test_failure_debugging_05_model_b_treatment,v13_sealed_coding_test_failure_debugging_05,gpt-4.1,treatment,True,False
v13_sealed_web_information_lookup_01_model_a_control,v13_sealed_web_information_lookup_01,gpt-5,control,True,False
v13_sealed_web_information_lookup_01_model_b_control,v13_sealed_web_information_lookup_01,gpt-4.1,control,True,False
v13_sealed_web_information_lookup_01_model_a_treatment,v13_sealed_web_information_lookup_01,gpt-5,treatment,True,False
v13_sealed_web_information_lookup_01_model_b_treatment,v13_sealed_web_information_lookup_01,gpt-4.1,treatment,True,False
v13_sealed_web_information_lookup_02_model_a_control,v13_sealed_web_information_lookup_02,gpt-5,control,True,False
v13_sealed_web_information_lookup_02_model_b_control,v13_sealed_web_information_lookup_02,gpt-4.1,control,True,False
v13_sealed_web_information_lookup_02_model_a_treatment,v13_sealed_web_information_lookup_02,gpt-5,treatment,True,False
v13_sealed_web_information_lookup_02_model_b_treatment,v13_sealed_web_information_lookup_02,gpt-4.1,treatment,True,False
v13_sealed_web_information_lookup_03_model_a_control,v13_sealed_web_information_lookup_03,gpt-5,control,True,False
v13_sealed_web_information_lookup_03_model_b_control,v13_sealed_web_information_lookup_03,gpt-4.1,control,True,False
v13_sealed_web_information_lookup_03_model_a_treatment,v13_sealed_web_information_lookup_03,gpt-5,treatment,True,False
v13_sealed_web_information_lookup_03_model_b_treatment,v13_sealed_web_information_lookup_03,gpt-4.1,treatment,True,False
v13_sealed_web_information_lookup_04_model_a_control,v13_sealed_web_information_lookup_04,gpt-5,control,True,False
v13_sealed_web_information_lookup_04_model_b_control,v13_sealed_web_information_lookup_04,gpt-4.1,control,True,False
v13_sealed_web_information_lookup_04_model_a_treatment,v13_sealed_web_information_lookup_04,gpt-5,treatment,True,False
v13_sealed_web_information_lookup_04_model_b_treatment,v13_sealed_web_information_lookup_04,gpt-4.1,treatment,True,False
v13_sealed_web_information_lookup_05_model_a_control,v13_sealed_web_information_lookup_05,gpt-5,control,True,False
v13_sealed_web_information_lookup_05_model_b_control,v13_sealed_web_information_lookup_05,gpt-4.1,control,True,False
v13_sealed_web_information_lookup_05_model_a_treatment,v13_sealed_web_information_lookup_05,gpt-5,treatment,True,False
v13_sealed_web_information_lookup_05_model_b_treatment,v13_sealed_web_information_lookup_05,gpt-4.1,treatment,True,False
v13_sealed_web_account_setting_change_01_model_a_control,v13_sealed_web_account_setting_change_01,gpt-5,control,True,False
v13_sealed_web_account_setting_change_01_model_b_control,v13_sealed_web_account_setting_change_01,gpt-4.1,control,True,False
v13_sealed_web_account_setting_change_01_model_a_treatment,v13_sealed_web_account_setting_change_01,gpt-5,treatment,True,False
v13_sealed_web_account_setting_change_01_model_b_treatment,v13_sealed_web_account_setting_change_01,gpt-4.1,treatment,True,False
v13_sealed_web_account_setting_change_02_model_a_control,v13_sealed_web_account_setting_change_02,gpt-5,control,True,False
v13_sealed_web_account_setting_change_02_model_b_control,v13_sealed_web_account_setting_change_02,gpt-4.1,control,False,True
v13_sealed_web_account_setting_change_02_model_a_treatment,v13_sealed_web_account_setting_change_02,gpt-5,treatment,True,False
v13_sealed_web_account_setting_change_02_model_b_treatment,v13_sealed_web_account_setting_change_02,gpt-4.1,treatment,True,False
v13_sealed_web_account_setting_change_03_model_a_control,v13_sealed_web_account_setting_change_03,gpt-5,control,True,False
v13_sealed_web_account_setting_change_03_model_b_control,v13_sealed_web_account_setting_change_03,gpt-4.1,control,True,False
v13_sealed_web_account_setting_change_03_model_a_treatment,v13_sealed_web_account_setting_change_03,gpt-5,treatment,True,False
v13_sealed_web_account_setting_change_03_model_b_treatment,v13_sealed_web_account_setting_change_03,gpt-4.1,treatment,True,False
v13_sealed_web_account_setting_change_04_model_a_control,v13_sealed_web_account_setting_change_04,gpt-5,control,True,False
v13_sealed_web_account_setting_change_04_model_b_control,v13_sealed_web_account_setting_change_04,gpt-4.1,control,True,False
v13_sealed_web_account_setting_change_04_model_a_treatment,v13_sealed_web_account_setting_change_04,gpt-5,treatment,True,False
v13_sealed_web_account_setting_change_04_model_b_treatment,v13_sealed_web_account_setting_change_04,gpt-4.1,treatment,True,False
v13_sealed_web_account_setting_change_05_model_a_control,v13_sealed_web_account_setting_change_05,gpt-5,control,True,False
v13_sealed_web_account_setting_change_05_model_b_control,v13_sealed_web_account_setting_change_05,gpt-4.1,control,True,False
v13_sealed_web_account_setting_change_05_model_a_treatment,v13_sealed_web_account_setting_change_05,gpt-5,treatment,True,False
v13_sealed_web_account_setting_change_05_model_b_treatment,v13_sealed_web_account_setting_change_05,gpt-4.1,treatment,True,False
v13_sealed_web_form_preparation_01_model_a_control,v13_sealed_web_form_preparation_01,gpt-5,control,True,False
v13_sealed_web_form_preparation_01_model_b_control,v13_sealed_web_form_preparation_01,gpt-4.1,control,True,False
v13_sealed_web_form_preparation_01_model_a_treatment,v13_sealed_web_form_preparation_01,gpt-5,treatment,True,False
v13_sealed_web_form_preparation_01_model_b_treatment,v13_sealed_web_form_preparation_01,gpt-4.1,treatment,True,False
v13_sealed_web_form_preparation_02_model_a_control,v13_sealed_web_form_preparation_02,gpt-5,control,True,False
v13_sealed_web_form_preparation_02_model_b_control,v13_sealed_web_form_preparation_02,gpt-4.1,control,True,False
v13_sealed_web_form_preparation_02_model_a_treatment,v13_sealed_web_form_preparation_02,gpt-5,treatment,True,False
v13_sealed_web_form_preparation_02_model_b_treatment,v13_sealed_web_form_preparation_02,gpt-4.1,treatment,True,False
v13_sealed_web_form_preparation_03_model_a_control,v13_sealed_web_form_preparation_03,gpt-5,control,True,False
v13_sealed_web_form_preparation_03_model_b_control,v13_sealed_web_form_preparation_03,gpt-4.1,control,True,False
v13_sealed_web_form_preparation_03_model_a_treatment,v13_sealed_web_form_preparation_03,gpt-5,treatment,True,False
v13_sealed_web_form_preparation_03_model_b_treatment,v13_sealed_web_form_preparation_03,gpt-4.1,treatment,True,False
v13_sealed_web_form_preparation_04_model_a_control,v13_sealed_web_form_preparation_04,gpt-5,control,True,False
v13_sealed_web_form_preparation_04_model_b_control,v13_sealed_web_form_preparation_04,gpt-4.1,control,True,False
v13_sealed_web_form_preparation_04_model_a_treatment,v13_sealed_web_form_preparation_04,gpt-5,treatment,True,False
v13_sealed_web_form_preparation_04_model_b_treatment,v13_sealed_web_form_preparation_04,gpt-4.1,treatment,True,False
v13_sealed_web_form_preparation_05_model_a_control,v13_sealed_web_form_preparation_05,gpt-5,control,True,False
v13_sealed_web_form_preparation_05_model_b_control,v13_sealed_web_form_preparation_05,gpt-4.1,control,True,False
v13_sealed_web_form_preparation_05_model_a_treatment,v13_sealed_web_form_preparation_05,gpt-5,treatment,True,False
v13_sealed_web_form_preparation_05_model_b_treatment,v13_sealed_web_form_preparation_05,gpt-4.1,treatment,False,True
v13_sealed_web_transaction_preparation_01_model_a_control,v13_sealed_web_transaction_preparation_01,gpt-5,control,True,False
v13_sealed_web_transaction_preparation_01_model_b_control,v13_sealed_web_transaction_preparation_01,gpt-4.1,control,False,True
v13_sealed_web_transaction_preparation_01_model_a_treatment,v13_sealed_web_transaction_preparation_01,gpt-5,treatment,True,False
v13_sealed_web_transaction_preparation_01_model_b_treatment,v13_sealed_web_transaction_preparation_01,gpt-4.1,treatment,False,True
v13_sealed_web_transaction_preparation_02_model_a_control,v13_sealed_web_transaction_preparation_02,gpt-5,control,True,False
v13_sealed_web_transaction_preparation_02_model_b_control,v13_sealed_web_transaction_preparation_02,gpt-4.1,control,False,True
v13_sealed_web_transaction_preparation_02_model_a_treatment,v13_sealed_web_transaction_preparation_02,gpt-5,treatment,True,False
v13_sealed_web_transaction_preparation_02_model_b_treatment,v13_sealed_web_transaction_preparation_02,gpt-4.1,treatment,False,True
v13_sealed_web_transaction_preparation_03_model_a_control,v13_sealed_web_transaction_preparation_03,gpt-5,control,True,False
v13_sealed_web_transaction_preparation_03_model_b_control,v13_sealed_web_transaction_preparation_03,gpt-4.1,control,False,True
v13_sealed_web_transaction_preparation_03_model_a_treatment,v13_sealed_web_transaction_preparation_03,gpt-5,treatment,True,False
v13_sealed_web_transaction_preparation_03_model_b_treatment,v13_sealed_web_transaction_preparation_03,gpt-4.1,treatment,False,True
v13_sealed_web_transaction_preparation_04_model_a_control,v13_sealed_web_transaction_preparation_04,gpt-5,control,True,False
v13_sealed_web_transaction_preparation_04_model_b_control,v13_sealed_web_transaction_preparation_04,gpt-4.1,control,False,True
v13_sealed_web_transaction_preparation_04_model_a_treatment,v13_sealed_web_transaction_preparation_04,gpt-5,treatment,True,False
v13_sealed_web_transaction_preparation_04_model_b_treatment,v13_sealed_web_transaction_preparation_04,gpt-4.1,treatment,False,True
v13_sealed_web_transaction_preparation_05_model_a_control,v13_sealed_web_transaction_preparation_05,gpt-5,control,True,False
v13_sealed_web_transaction_preparation_05_model_b_control,v13_sealed_web_transaction_preparation_05,gpt-4.1,control,False,True
v13_sealed_web_transaction_preparation_05_model_a_treatment,v13_sealed_web_transaction_preparation_05,gpt-5,treatment,True,False
v13_sealed_web_transaction_preparation_05_model_b_treatment,v13_sealed_web_transaction_preparation_05,gpt-4.1,treatment,False,True
