trajectory_id,model,output_exists,schema_valid,corrupt
v13_sealed_web_transaction_preparation_02_model_b_control,gpt-4.1,False,False,False
v13_sealed_web_transaction_preparation_02_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_transaction_preparation_02_model_b_treatment,gpt-4.1,False,False,False
v13_sealed_web_transaction_preparation_03_model_a_control,gpt-5,True,True,False
v13_sealed_web_transaction_preparation_03_model_b_control,gpt-4.1,False,False,False
v13_sealed_web_transaction_preparation_03_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_transaction_preparation_03_model_b_treatment,gpt-4.1,False,False,False
v13_sealed_web_transaction_preparation_04_model_a_control,gpt-5,True,True,False
v13_sealed_web_transaction_preparation_04_model_b_control,gpt-4.1,False,False,False
v13_sealed_web_transaction_preparation_04_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_transaction_preparation_04_model_b_treatment,gpt-4.1,False,False,False
v13_sealed_web_transaction_preparation_05_model_a_control,gpt-5,True,True,False
v13_sealed_web_transaction_preparation_05_model_b_control,gpt-4.1,False,False,False
v13_sealed_web_transaction_preparation_05_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_transaction_preparation_05_model_b_treatment,gpt-4.1,False,False,False
