trajectory_id,model,received_proposals,persisted_proposals,persistence_rate,post_proposal_failure,auditable,raw_proposal_path
v13_sealed_coding_bug_fix_05_model_a_control,gpt-5,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_05_model_a_control.jsonl
v13_sealed_coding_bug_fix_05_model_b_control,gpt-4.1,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_05_model_b_control.jsonl
v13_sealed_coding_bug_fix_05_model_a_treatment,gpt-5,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_05_model_a_treatment.jsonl
v13_sealed_coding_bug_fix_05_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_05_model_b_treatment.jsonl
v13_sealed_coding_dependency_resolution_01_model_a_control,gpt-5,8,8,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_01_model_a_control.jsonl
v13_sealed_coding_dependency_resolution_01_model_b_control,gpt-4.1,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_01_model_b_control.jsonl
v13_sealed_coding_dependency_resolution_01_model_a_treatment,gpt-5,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_01_model_a_treatment.jsonl
v13_sealed_coding_dependency_resolution_01_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_01_model_b_treatment.jsonl
v13_sealed_coding_dependency_resolution_02_model_a_control,gpt-5,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_02_model_a_control.jsonl
v13_sealed_coding_dependency_resolution_02_model_b_control,gpt-4.1,10,10,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_02_model_b_control.jsonl
v13_sealed_coding_dependency_resolution_02_model_a_treatment,gpt-5,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_02_model_a_treatment.jsonl
v13_sealed_coding_dependency_resolution_02_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_02_model_b_treatment.jsonl
v13_sealed_coding_dependency_resolution_03_model_a_control,gpt-5,8,8,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_03_model_a_control.jsonl
v13_sealed_coding_dependency_resolution_03_model_b_control,gpt-4.1,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_03_model_b_control.jsonl
v13_sealed_coding_dependency_resolution_03_model_a_treatment,gpt-5,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_03_model_a_treatment.jsonl
v13_sealed_coding_dependency_resolution_03_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_03_model_b_treatment.jsonl
v13_sealed_coding_dependency_resolution_04_model_a_control,gpt-5,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_04_model_a_control.jsonl
v13_sealed_coding_dependency_resolution_04_model_b_control,gpt-4.1,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_04_model_b_control.jsonl
v13_sealed_coding_dependency_resolution_04_model_a_treatment,gpt-5,11,11,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_04_model_a_treatment.jsonl
v13_sealed_coding_dependency_resolution_04_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_04_model_b_treatment.jsonl
v13_sealed_coding_dependency_resolution_05_model_a_control,gpt-5,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_05_model_a_control.jsonl
v13_sealed_coding_dependency_resolution_05_model_b_control,gpt-4.1,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_05_model_b_control.jsonl
v13_sealed_coding_dependency_resolution_05_model_a_treatment,gpt-5,11,11,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_05_model_a_treatment.jsonl
v13_sealed_coding_dependency_resolution_05_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_dependency_resolution_05_model_b_treatment.jsonl
v13_sealed_coding_configuration_repair_01_model_a_control,gpt-5,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_01_model_a_control.jsonl
v13_sealed_coding_configuration_repair_01_model_b_control,gpt-4.1,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_01_model_b_control.jsonl
v13_sealed_coding_configuration_repair_01_model_a_treatment,gpt-5,8,8,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_01_model_a_treatment.jsonl
v13_sealed_coding_configuration_repair_01_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_01_model_b_treatment.jsonl
v13_sealed_coding_configuration_repair_02_model_a_control,gpt-5,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_02_model_a_control.jsonl
v13_sealed_coding_configuration_repair_02_model_b_control,gpt-4.1,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_02_model_b_control.jsonl
v13_sealed_coding_configuration_repair_02_model_a_treatment,gpt-5,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_02_model_a_treatment.jsonl
v13_sealed_coding_configuration_repair_02_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_02_model_b_treatment.jsonl
v13_sealed_coding_configuration_repair_03_model_a_control,gpt-5,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_03_model_a_control.jsonl
v13_sealed_coding_configuration_repair_03_model_b_control,gpt-4.1,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_03_model_b_control.jsonl
v13_sealed_coding_configuration_repair_03_model_a_treatment,gpt-5,11,11,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_03_model_a_treatment.jsonl
v13_sealed_coding_configuration_repair_03_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_03_model_b_treatment.jsonl
v13_sealed_coding_configuration_repair_04_model_a_control,gpt-5,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_04_model_a_control.jsonl
v13_sealed_coding_configuration_repair_04_model_b_control,gpt-4.1,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_04_model_b_control.jsonl
v13_sealed_coding_configuration_repair_04_model_a_treatment,gpt-5,10,10,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_04_model_a_treatment.jsonl
v13_sealed_coding_configuration_repair_04_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_04_model_b_treatment.jsonl
v13_sealed_coding_configuration_repair_05_model_a_control,gpt-5,8,8,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_05_model_a_control.jsonl
v13_sealed_coding_configuration_repair_05_model_b_control,gpt-4.1,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_05_model_b_control.jsonl
v13_sealed_coding_configuration_repair_05_model_a_treatment,gpt-5,11,11,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_05_model_a_treatment.jsonl
v13_sealed_coding_configuration_repair_05_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_configuration_repair_05_model_b_treatment.jsonl
v13_sealed_coding_test_failure_debugging_01_model_a_control,gpt-5,10,10,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_01_model_a_control.jsonl
v13_sealed_coding_test_failure_debugging_01_model_b_control,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_01_model_b_control.jsonl
v13_sealed_coding_test_failure_debugging_01_model_a_treatment,gpt-5,8,8,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_01_model_a_treatment.jsonl
v13_sealed_coding_test_failure_debugging_01_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_01_model_b_treatment.jsonl
v13_sealed_coding_test_failure_debugging_02_model_a_control,gpt-5,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_02_model_a_control.jsonl
v13_sealed_coding_test_failure_debugging_02_model_b_control,gpt-4.1,10,10,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_02_model_b_control.jsonl
v13_sealed_coding_test_failure_debugging_02_model_a_treatment,gpt-5,10,10,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_02_model_a_treatment.jsonl
v13_sealed_coding_test_failure_debugging_02_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_02_model_b_treatment.jsonl
v13_sealed_coding_test_failure_debugging_03_model_a_control,gpt-5,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_03_model_a_control.jsonl
v13_sealed_coding_test_failure_debugging_03_model_b_control,gpt-4.1,8,8,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_03_model_b_control.jsonl
v13_sealed_coding_test_failure_debugging_03_model_a_treatment,gpt-5,11,11,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_03_model_a_treatment.jsonl
v13_sealed_coding_test_failure_debugging_03_model_b_treatment,gpt-4.1,10,10,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_03_model_b_treatment.jsonl
v13_sealed_coding_test_failure_debugging_04_model_a_control,gpt-5,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_04_model_a_control.jsonl
v13_sealed_coding_test_failure_debugging_04_model_b_control,gpt-4.1,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_04_model_b_control.jsonl
v13_sealed_coding_test_failure_debugging_04_model_a_treatment,gpt-5,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_04_model_a_treatment.jsonl
v13_sealed_coding_test_failure_debugging_04_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_04_model_b_treatment.jsonl
v13_sealed_coding_test_failure_debugging_05_model_a_control,gpt-5,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_05_model_a_control.jsonl
v13_sealed_coding_test_failure_debugging_05_model_b_control,gpt-4.1,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_05_model_b_control.jsonl
v13_sealed_coding_test_failure_debugging_05_model_a_treatment,gpt-5,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_05_model_a_treatment.jsonl
v13_sealed_coding_test_failure_debugging_05_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_test_failure_debugging_05_model_b_treatment.jsonl
v13_sealed_web_information_lookup_01_model_a_control,gpt-5,4,4,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_01_model_a_control.jsonl
v13_sealed_web_information_lookup_01_model_b_control,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_01_model_b_control.jsonl
v13_sealed_web_information_lookup_01_model_a_treatment,gpt-5,5,5,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_01_model_a_treatment.jsonl
v13_sealed_web_information_lookup_01_model_b_treatment,gpt-4.1,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_01_model_b_treatment.jsonl
v13_sealed_web_information_lookup_02_model_a_control,gpt-5,4,4,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_02_model_a_control.jsonl
v13_sealed_web_information_lookup_02_model_b_control,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_02_model_b_control.jsonl
v13_sealed_web_information_lookup_02_model_a_treatment,gpt-5,5,5,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_02_model_a_treatment.jsonl
v13_sealed_web_information_lookup_02_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_02_model_b_treatment.jsonl
v13_sealed_web_information_lookup_03_model_a_control,gpt-5,4,4,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_03_model_a_control.jsonl
v13_sealed_web_information_lookup_03_model_b_control,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_03_model_b_control.jsonl
v13_sealed_web_information_lookup_03_model_a_treatment,gpt-5,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_03_model_a_treatment.jsonl
v13_sealed_web_information_lookup_03_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_03_model_b_treatment.jsonl
v13_sealed_web_information_lookup_04_model_a_control,gpt-5,4,4,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_04_model_a_control.jsonl
v13_sealed_web_information_lookup_04_model_b_control,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_04_model_b_control.jsonl
v13_sealed_web_information_lookup_04_model_a_treatment,gpt-5,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_04_model_a_treatment.jsonl
v13_sealed_web_information_lookup_04_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_04_model_b_treatment.jsonl
v13_sealed_web_information_lookup_05_model_a_control,gpt-5,4,4,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_05_model_a_control.jsonl
v13_sealed_web_information_lookup_05_model_b_control,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_05_model_b_control.jsonl
v13_sealed_web_information_lookup_05_model_a_treatment,gpt-5,8,8,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_05_model_a_treatment.jsonl
v13_sealed_web_information_lookup_05_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_information_lookup_05_model_b_treatment.jsonl
v13_sealed_web_account_setting_change_01_model_a_control,gpt-5,5,5,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_01_model_a_control.jsonl
v13_sealed_web_account_setting_change_01_model_b_control,gpt-4.1,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_01_model_b_control.jsonl
v13_sealed_web_account_setting_change_01_model_a_treatment,gpt-5,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_01_model_a_treatment.jsonl
v13_sealed_web_account_setting_change_01_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_01_model_b_treatment.jsonl
v13_sealed_web_account_setting_change_02_model_a_control,gpt-5,5,5,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_02_model_a_control.jsonl
